Potência,Velocidade máxima,Preço em R$,Unidades vendidas
cv,km/h,R$,Unidades
1A,Bugatti Chiron Super Sport 300+,1.600,490,57.000.000,30,Foi o primeiro carro a ultrapassar os 300 mph (483 km/h).,false
2A,Ferrari SF90 Stradale,1.000,340,6.000.000,1, Foi o primeiro carro híbrido da Ferrari.,false
3A,Porsche 911 Turbo S,650,330,1.329.000,1.000.000,Originalmente seria chamado de Porsche 901, mas teve que mudar o nome por causa dos direitos da Peugeot.,false
4A,DeLorean DMC-12,130,209,25.000,9.000,Foi transformado em uma máquina do tempo na trilogia De Volta para o Futuro.,false
5A,Polo GTS,151,207,113.060,4.000,Considerado pelos mais sábios o carro mais pica de todos.,false
6A,Ford Mustang,480,250,315.900,61.000,É considerado o carro mais famoso dos cinemas, tendo aparecido em mais de 500 filmes.,false
7A,BMC Mini,76,160,3.000,5.000.000,Ele foi o carro preferido dos Beatles e do Mr. Bean.,false
8A,Lamborghini Miura,385,280,20.000,764,Este carro foi batizado em homenagem a uma raça de touros bravos.,false
1B,Rolls-Royce Phantom,571,250,4.000.000,1.000,É considerado por muitos o carro mais luxuoso do mundo.,false
2B,Volkswagen Kombi,80,130,50.000,12.500.000,O último exemplar da Kombi fabricado no Brasil foi enviado para um museu na Alemanha.,false
3B,Cadillac Eldorado,400,210,117.600,500.000,Foi usado por usado por celebridades como Elvis Presley e Marilyn Monroe.,false
4B,Volkswagen Fusca,46,130,10.000,21.000.000,Foi o primeiro carro fabricado pela Volkswagen e o mais vendido do mundo até ser superado pelo Toyota Corolla em 1997.,true
5B,Aston Martin DB5,325,230,6.400.000,1.059,Ficou famoso por ser o carro usado pelo espião James Bond nos filmes da franquia 007.,false
6B,Civic Type R,310,272,429.900,200.000,É conhecido como a verção Radical do Civic.,false
7B,Toyota Supra,340,250,424.900,8.771,Is that a supra?!?,false
8B,Renault Sandero RS,150,200,69.690,1000,A sigla RS significa Renault Sport.,false
1C,Toyota Corolla,154,199,143.390,50.000.000,Se tornou o carro mais vendido da história em 1997.,false
2C,Ford modelo T,20,75,850,24.600,15.000.000,Foi o primeiro carro produzido em série pela Ford.,false
3C,Ferrari 250 GTO,385,280,202.000.000,36,Foi o primeiro carro do mundo com motor central-traseiro.,false
4C,Citroën DS,141,189,40.000,1.400.000,Foi o primeiro carro com suspensão hidropneumática auto-nivelante e faróis direcionais.,false
5C,Pontiac GTO,360,230,200.000,500.000,O GTO teve três gerações sendo a primeira a mais famosa e desejada pelos colecionadores.,false
6C,Koenigsegg Agera RS,1.160,447,2.700.000,25,O Agera RS foi o carro mais rápido do mundo até ser superado pelo Chiron em 2019.,false
7C,McLaren P1,916,350,1.150.000,375,A McLaren P1 teve uma produção limitada a apenas 375 unidades. Todas foram vendidas antes do lançamento oficial do carro.,false
8C,Hennessey Venom GT,1.244,435,1.200.000,13,O Hennessey Venom GT teve uma versão conversível chamada Spyder que foi inspirada pelo cantor Steven Tylerda banda Aerosmith,false
1D,Ram 2500,365,160,456.990,1.000.000,Alguns modelos vem com uma pequena geladera no console central.,false
2D,
3D,
4D,
5D,
6D,
7D,
8D,
